Keyword,Handicap,KWType,Description
A Little Too Cronenberg,0,Preference,
Accidental Expressionism,0,Production,
ADR,0,Production,
Al Pacino,0,Person,
Aliens,0,Critter/Character,
Animal Cruelty,-1,Handicap,
Animated,0,Preference,
Another Fine Asylum Production,0,Production,
Another Fine Cannon Production,0,Production,
Another Fine Corman Production,0,Production,
Another Fine Full Moon Production,0,Production,
Auteur,0,Preference,
Bad Lighting,-1,Production,
Bad Sound Mix,-1,Production,
Baffling,0,Preference,
Barely a Movie,0,Writing,
Beating a Dead Backstory,0,Writing,
Beating a Dead Exposition,0,Writing,
Beef Protein,1,Handicap,
Bees,0,Critter/Character,
Big Budget Slop,0,Production,
Brendan Fraser,0,Person,
Bromance,0,Preference,
Butts,0,Filter,
Campy,0,Preference,
Can’t Unsee,0,Filter,
Casual Ableism,-1,Handicap,
Casual Fatphobia,-1,Handicap,
Casual Racism,-1,Handicap,
CG,0,Filter,
Chasing Stupid Clues,0,Writing,
Christmas,0,Filter,
Chuck Norris,0,Person,
Classics Flex,0,Writing,
Cool World,-100,Handicap,Movies that make you feel sticky. Movies that hate you. Movies that want you to have a seizure. Movies with too many dicks flopping around.
Cop Slop,0,Writing,
Costumes by Mom,0,Production,
Cowboys,0,Critter/Character,
Crusty,-1,Handicap,
Dad-Approved,0,Filter,
Dead Inside Line Readings,0,Production,
Did You Know That Humans Only Use 10% of Their Brains,0,Writing,
Die Hard on a,0,Writing,
Dinosaurs,0,Critter/Character,
Direct to Home Video,0,Filter,
Everyone’s on Board,1,Handicap,
Ew Don't Kiss Him,0,Preference,
Extreme Sports,0,Preference,
Faaaaabulous,0,Preference,
Feet,0,Filter,
Figurative Hell,0,Preference,
Frosted Tips,0,Hairstyles,
Furries,0,Critter/Character,
Gary Busey,0,Person,
Gene Simmons,0,Person,
Get the Bastards,0,Writing,
Godzilla,0,Critter/Character,
Goes Down Smooth,2,Handicap,
Gore,0,Preference,
Gratuitous Slo-Mo,0,Production,
Gratuitous Time Jump,0,Writing,
Great Stunts,1,Handicap,
Groaner,-1,Handicap,
Halloween,0,Filter,
Hateful,-4,Handicap,
Hello Mr. Police,0,Writing,
Holiday,0,Filter,
Homoerotic Undertones,0,Preference,
Hot for Guns,0,Preference,
Hulk Hogan,0,Person,
I Should Fire My Agent,0,Filter,
I Wonder If That’s the Bad Guy,0,Filter,
Ice-T,0,Person,
Indiana Jones,0,Writing,
Inscrutable Accent,1,Handicap,
Intentional Slop,-4,Handicap,
Intrusive Camera,0,Production,
Intrusive Editing,0,Production,
Intrusive Foley,0,Production,
Intrusive Score,0,Production,
Is This a Robocop?,0,Writing,
Is This a Star War?,0,Writing,
Is This a The Matrix?,0,Writing,
Is This a The Terminator?,0,Writing,
It Was All a Dream,0,Writing,
It’s a Musical!,1,Handicap,
Jackie Chan,0,Person,
Jar Jar Binks,0,Critter/Character,
Jason Statham,0,Person,
John Cusack,0,Person,
Just Yelling,0,Preference,
Keanu,0,Person,
Kelsey Grammer,0,Person,
Kicks and Punches,0,Preference,
Literal Hell,0,Preference,
Low Budget,0,Production,
Luc Besson,0,Person,
M. Night Shyamalan,0,Person,
Mad Max,0,Writing,
Made for TV,0,Filter,
Michael Crichton,0,Person,
Milla Jovovich,0,Person,
Mouthbreather Theater,0,Filter,
Mullets,0,Hairstyles,
Never Stopped to Ask if We Should,0,Writing,
Nic Cage,0,Person,
Ninjas,0,Critter/Character,
No Actors Here,0,Production,
No Actors Really Trying,0,Production,
No Homo,-1,Handicap,
No Second Takes,0,Production,
No Sets Here,0,Production,
No Wasted Tape,0,Production,
Not Slop,4,Handicap,
Obvious Compositing,0,Production,
Obvious Dummy,0,Production,
Old Child,0,Critter/Character,
Ooh an Original Song,0,Preference,
Oops All Bits,0,Writing,
Oops All Peril,0,Writing,
Oops All Stock Footage,0,Production,
Oops All Twists,0,Writing,
Oops All Vignettes,0,Writing,
Oops Fourth Act,0,Writing,
Oops Good Costumes,0,Production,
Oops Good Film,4,Handicap,
Oops Good First Act,1,Handicap,
Oops Good Lighting,0,Production,
Oops Good Makeup,0,Production,
Oops Good Score,1,Handicap,
Oops Good Third Act,1,Handicap,
Oops Music Video,0,Production,
Oscar Isaac,0,Person,
Overt Sponsorship,-1,Handicap,
Pan Pipes,0,Production,
Plane Problems,0,Writing,
Practical Effects,0,Production,
Queer Icon,0,Preference,
Quips,0,Writing,
Quotable Quotes,1,Handicap,
Radical Shredding,0,Production,
Rickety Bridge,0,Writing,
Ride the Fast Forward,-3,Handicap,
Robot Spiders,0,Critter/Character,
Robots,0,Critter/Character,
Romance Through Space and Time,0,Writing,
Save the Rec Center,0,Writing,
Schwarzenegger,0,Person,
Scorn Porn,0,Writing,
Seagal,0,Person,
Sex Movie for Sex Perverts,0,Writing,
Shameless Display of Movie,-4,Handicap,
Sharks,0,Critter/Character,
She Died for the Plot,0,Writing,
Shitty Puppet,0,Production,
Sincere,0,Preference,
Slop from Abroad,0,Preference,
Sloppy Premise Good Execution,4,Handicap,
Smooth Furry Hell,0,Preference,
Snakes,0,Critter/Character,
So That’s What Killed the Dinosaurs,0,Writing,
Somehow This Passes the Bechdel Test,0,Writing,
Splosions!,1,Handicap,
Spoiler the Black Guy Dies First,0,Filter,
Stallone,0,Person,
Stephen King,0,Person,
Stupid Premise Stupid Execution,0,Writing,
Stupid Tarantino,0,Writing,
Stylish,1,Handicap,
Supersoldiers,0,Critter/Character,
Talking Things That Shouldn't Talk,0,Critter/Character,
Technology Hates Us,0,Writing,
That One Actor is Really Trying,1,Handicap,
That’s Not a Name,1,Handicap,
That’s Not Slang,1,Handicap,
That's the Name of the Movie,0,Writing,
The Friends We Made Along The Way,0,Writing,
The Real Power Was Love,0,Writing,
The Real Power was Testosterone,0,Writing,
The Rock,0,Person,
They Really Killed that Kid,0,Filter,
This Movie Has a Heart of Gold,2,Handicap,
This Movie Has Everything,1,Handicap,
This Movie Loves Women,-1,Handicap,
Travolta,0,Person,
Unexpected Incestuous Undertones,0,Filter,
Unexpectedly Garbage Cameo,0,Preference,
Unexpectedly Grim,-1,Handicap,
Unlikeable Protagonist,-1,Handicap,
Unnecessary Narration,0,Writing,
Unnecessary Nudity,0,Preference,
Vampires,0,Critter/Character,
Van Damme,0,Person,
Visible Production Gear,0,Production,
Wachowskis,0,Person,
Wake Up Sheeple,0,Writing,
Werewolves,0,Critter/Character,
White People with Dreads,0,Hairstyles,
Wizards,0,Critter/Character,
Wow So Sexy,1,Handicap,
Wow What a Twist,1,Handicap,
Wow What a Wig,0,Hairstyles,
You Have to See It But You Won’t Like It,0,Filter,
Zombies,0,Critter/Character,
